Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BALBS314,DefaultProbCons,0.140135699374,0.117954575407,0.129045137391,0.0,0.140135699374,1.21334039174,0.723866239345,0.855614973262,11.0,1889.0,2292.0,1714.0,0.750605674152,0.66908898407,71.2974358974,5.0,0.140135699374,0.117954575407,0.0,1.21334039174,582.636363636
BALBS182,DefaultProbCons,0.326716652613,0.242465243717,0.284590948165,0.0,0.326716652613,2.00610500611,0.643784127627,0.764705882353,22.0,819.0,1643.0,759.0,0.462933101332,0.621101121101,48.4458874459,5.0,0.326716652613,0.242465243717,0.0,2.00610500611,238.590909091
BALBS029,DefaultProbCons,0.019671314741,0.016115871073,0.017893592907,0.0,0.019671314741,1.35103244838,0.831993300053,0.943396226415,10.0,339.0,458.0,211.0,0.287793656994,0.531563421829,26.115942029,5.0,0.019671314741,0.016115871073,0.0,1.35103244838,79.0
BALBS484,DefaultProbCons,0.335593220339,0.294642857143,0.315118038741,0.0147058823529,0.335593220339,1.28985507246,0.679900630537,0.764705882353,5.0,69.0,89.0,69.0,0.0123038239196,0.0173913043478,1.0,1.0,0.335593220339,0.294642857143,0.0147058823529,1.28985507246,0.1
BALBS002,DefaultProbCons,0.108045977011,0.09670781893,0.102376897971,0.0,0.108045977011,1.14583333333,0.807977529445,0.907894736842,4.0,96.0,110.0,91.0,0.0398061946524,0.1015625,4.33333333333,3.0,0.108045977011,0.09670781893,0.0,1.14583333333,4.125
BALBS343,DefaultProbCons,0.288046611841,0.226409693732,0.257228152786,0.0,0.288046611841,1.83600713012,0.701698221111,0.901840490798,22.0,561.0,1030.0,407.0,0.389510644593,0.527305136931,36.9772727273,5.0,0.288046611841,0.226409693732,0.0,1.83600713012,128.068181818
BALBS633,DefaultProbCons,0.6398977433,0.569556688898,0.604727216099,0.269470404984,0.6398977433,1.32267884323,0.400582976266,0.5413153457,7.0,657.0,869.0,650.0,0.0281857708294,0.0534898891063,4.03278688525,2.0,0.6398977433,0.569556688898,0.269470404984,1.32267884323,0.0
BALBS690,DefaultProbCons,0.119171386454,0.0954926950575,0.107332040756,0.0,0.119171386454,1.25415198792,0.749825930459,0.872197309417,10.0,1987.0,2492.0,1328.0,0.226535575648,0.503271263211,45.871559633,3.0,0.119171386454,0.0954926950575,0.0,1.25415198792,424.8
BALBS372,DefaultProbCons,0.268901161683,0.209324735009,0.239112948346,0.0,0.268901161683,1.21777777778,0.661153911053,0.763636363636,12.0,675.0,822.0,632.0,0.536626581661,0.620617283951,59.8452380952,2.0,0.268901161683,0.209324735009,0.0,1.21777777778,202.791666667
BALBS116,DefaultProbCons,0.481672220539,0.406597621787,0.444134921163,0.0,0.481672220539,1.48427672956,0.552461343182,0.871794871795,13.0,159.0,236.0,155.0,0.153661935537,0.301402999516,9.29850746269,8.0,0.481672220539,0.406597621787,0.0,1.48427672956,14.7307692308
